CustomerName,StreetNumber,StreetName,Zip,DOB,Savings,Checkings,CreditCard,Pin
Carina Bradbeer,4,Swallow,,709812786000,$96139.49,$45515.53,5048374472567595,4783
Kathe Geely,5794,Village,,1269437365000,$67897.14,$15467.83,5108756897341373,6549
Robinet Winter,9,West,547018,-40935844000,$75033.56,$54719.66,5108750145868881,1556
Bent Bromidge,03542,Hovde,9407,461607356000,$49482.00,$10065.42,5108759882775407,7609
Dita Cockarill,242,Ilene,273 43,586426300000,$93511.39,$37346.27,5108758583255032,6836
Vanna Janew,1554,Lotheville,,1597004308000,$36955.30,$94710.80,5108751389812007,5084
Daria Yanez,3,Buhler,A63,-456975903000,$8201.26,$36250.66,5108757569640688,8303
Dolph Mayoh,84,Ilene,,218112635000,$5134.37,$57955.18,5108757619660330,8916
Thatch Flewett,9171,High Crossing,4201,62351639000,$48676.08,$13772.08,5048376952419684,9667
Milton Mellings,4,Magdeline,9121,-453942393000,$18999.46,$20481.90,5048376573857106,2264
Auria Huccaby,90333,Sage,793 05,101616504000,$87317.08,$31714.63,5108750298983305,4084
Cammie Bough,15,Buhler,,1371492281000,$45825.83,$79976.61,5108753286152156,2509
Tim Whiteway,14,Mitchell,,-286805044000,$75114.82,$62258.41,5048371709459471,7662
Suellen Baudinot,72892,Bobwhite,,-562968795000,$22957.85,$74938.81,5048375876403477,7211
Maynord Vondrak,2243,Jackson,17184 CEDEX,1047607909000,$88524.49,$51071.01,5048379087122215,6189
Zolly Fryer,01302,Welch,09430,-511861569000,$37296.89,$32060.06,5048374283323469,2098
Mellicent Trail,42686,Morningstar,36150,-276684792000,$43742.37,$63051.29,5108758588217037,6525
Mabelle Cona,81630,Dapin,11809,1040567842000,$13181.00,$73511.97,5108751942269653,5966
Ev Enga,24,Bluejay,,837367935000,$37293.55,$67258.43,5108758115547906,8016
Brander Leivers,6,Mitchell,8006,1526254082000,$35455.86,$25964.14,5048379016590748,6483
Chicky Heaslip,50,Delaware,,236540386000,$1212.87,$24601.88,5048373116354956,6022
Catharine L'Episcopi,8436,Eagan,,1338406607000,$1420.70,$75619.66,5048374358314880,7307
Jesselyn Hamshere,7,Bay,62767,1619683988000,$95737.63,$13998.65,5048374820388645,2609
Dolley Tousy,7328,Drewry,,1212951332000,$53237.48,$88234.06,5108752030053827,9608
Ximenez Aldous,7,Green Ridge,,839804754000,$62542.31,$36731.79,5108756444703026,5462
Gabbi Postins,3920,Atwood,4640-301,-46736502000,$1357.09,$31510.05,5048370020783791,1535
Etienne Kelf,078,Messerschmidt,,22758510000,$74009.09,$81756.59,5048374724339322,8552
Paulita Lavrinov,2,Continental,,986176190000,$60044.63,$18370.02,5108753548410764,1062
Mandel Pyrton,81,Bunting,6527,320551039000,$25198.25,$34621.80,5108755315349133,8497
Alf Goford,7,Roth,V1A,775511132000,$88065.66,$46374.30,5048375988591367,7368
Christophorus Zincke,4,Summer Ridge,,403869467000,$918.54,$66173.92,5048377005961573,8875
Basile Burkwood,520,Jenifer,1040,10218323000,$65188.34,$20996.69,5108757848832387,7225
Sharron Houseley,1,La Follette,21-146,352452091000,$70432.16,$50208.88,5108751845443009,2021
Gale Rubica,5,2nd,658138,-59654040000,$28247.99,$31560.56,5108757571229678,7414
Hazel Szubert,94,Oneill,20404,221191005000,$57196.29,$81103.62,5108756299675691,5458
Margi Krollman,72678,Pierstorff,3107,1106199877000,$20829.12,$98284.98,5108750384553376,2981
Rabi Van der Brugge,055,Chive,73700-000,1496101473000,$2672.92,$64967.89,5048376082793842,1233
Frants Cours,4,Fair Oaks,,1488865529000,$90228.52,$8977.11,5048372696903141,7283
Johnathon Gercke,86251,Merrick,35540-000,153116919000,$4036.41,$84746.19,5108754550115192,5165
Gus Boylin,168,Buena Vista,,1101646799000,$4259.40,$46810.75,5048374450869922,6151
Morna Geach,70578,Troy,4616,-203588950000,$9038.70,$26164.02,5108759656999886,2604
Tybie Buckberry,672,Lakewood Gardens,169 05,-521796325000,$86779.98,$89937.48,5108759574432689,4815
Salvidor Secker,1929,Pankratz,4425,667594882000,$25360.60,$86254.01,5048371483175517,9142
Dasya Adamo,21212,Manitowish,,969802086000,$2786.58,$86401.20,5108755452699639,5424
Corissa Kirby,095,Kropf,,398842515000,$66896.25,$42990.57,5048379572176577,7578
Donnajean Bussy,59959,Ronald Regan,457650,1203375274000,$93660.33,$35680.43,5108754892359748,5715
Sibeal Jordi,0531,Toban,,-47506040000,$24858.38,$95499.31,5048376044572656,6999
Reta Petris,528,Hayes,,1299603748000,$31540.48,$76785.18,5108759822703915,7533
Walt Johnys,727,Little Fleur,,390464881000,$41607.44,$55948.63,5108756963644957,4152
Kai Ducker,34,Vernon,,1254455444000,$99693.67,$567.26,5048379789831535,1315
Mateo Zarfat,07,Elka,39-124,871854271000,$83782.87,$88697.34,5048374460028022,5678
Aleece Frayling,4,Grayhawk,,1465621101000,$94098.93,$72255.64,5048370262533441,8926
Tiffie Isles,51967,Alpine,,1550224347000,$11110.64,$47349.86,5108754324564824,9660
Herc Daintree,4,Mallory,822 30,1276832805000,$35851.84,$42342.37,5048377240470596,7258
Codi Hillett,0984,Tennessee,66-330,1047180175000,$19271.95,$1524.11,5108755992107002,1596
Quill Dukes,55098,Clemons,,1565349780000,$79930.27,$31713.29,5108751447146687,8183
Martainn Ackenhead,583,Jackson,,-23647746000,$94728.30,$58443.18,5048371520579713,1245
Herve Veasey,60,Reinke,,-136305967000,$85477.47,$74422.08,5108752130820695,8795
Rockie Sargant,33,Del Sol,,750125134000,$78122.73,$5956.04,5048373865199412,5576
Jerrine Jorczyk,49,Quincy,,513779689000,$48027.65,$32294.86,5048378229044691,4896
Giffard Forbear,5564,Anzinger,,754268672000,$78696.93,$4978.88,5048371300790100,3411
Kiley Corson,277,Warrior,747 67,484808206000,$94406.02,$25555.43,5048373845351737,6022
Brandyn Cowell,9,Morning,252257,1105668266000,$91566.93,$78666.42,5048376991592681,8027
Garrik Swetman,2,Butterfield,15990-000,195368632000,$61494.31,$66323.02,5108755357548667,4102
Renaud Colledge,5,Havey,29216,1595045466000,$91682.73,$24439.20,5048372699892952,3084
Alma Skeats,73165,Rockefeller,,1410032706000,$72233.72,$22290.09,5108750355790502,4578
Rosalinda Tumbelty,3134,Johnson,,717675396000,$73202.38,$91728.26,5108753791828464,2815
Kathy Grzegorek,938,Susan,,-413529012000,$42637.39,$46627.85,5048377646897590,3802
Brittaney Figg,4,Miller,,1542031373000,$19868.66,$78883.64,5048376027226932,9059
Bianka Shalcras,11195,Utah,174 44,-184177667000,$41093.78,$72778.03,5108751652061670,7542
Morganica Khrishtafovich,796,Westerfield,,1077745289000,$47861.70,$13731.19,5108753009128020,9730
Glyn Tyrrell,8,Independence,2302,422731625000,$90740.40,$81881.31,5048373770599771,2178
Barney Leggen,9,Eastwood,,436395946000,$45330.92,$30230.89,5048375095088752,2505
Shina Blanchflower,27683,Elgar,,723079098000,$30139.81,$61654.15,5108751276644695,1883
Clarance Slowcock,393,Clyde Gallagher,,847563525000,$96062.30,$89792.92,5048379418226164,8927
Cob Kraut,3191,Norway Maple,,1015347460000,$46023.07,$45439.49,5108753505350615,5258
Roz Raffan,1,Twin Pines,,-123241325000,$81490.35,$63819.31,5048373400829168,7428
Wayne Bruins,97632,Autumn Leaf,3120,1478656285000,$96264.26,$33665.11,5108757852997951,3554
Farrell Sach,696,Scoville,,721837608000,$14542.66,$68049.95,5108759168797240,6643
Lilas Sleite,89,Eagan,,-84764643000,$40925.80,$13881.97,5108752682690272,5194
Freddy Akers,2227,Troy,,695354975000,$14250.12,$8494.07,5108751808424665,8879
Audrey Backshell,1128,Vidon,,1487001051000,$4204.12,$34115.79,5108754025423510,8516
Cloris Hodgets,34534,Esker,,918821929000,$96564.89,$68885.43,5108753072360799,1360
Mahmoud Kinsman,732,Stuart,783 35,-500696147000,$87856.77,$1814.85,5108752359714306,5194
Arvie Klesel,87573,Arrowood,,338464856000,$22543.15,$54274.26,5108755043367829,6760
Roland Spare,12938,Badeau,,1214267823000,$88072.49,$43000.47,5108755571502482,9002
Daron Sutcliff,3398,Badeau,9760-406,24627899000,$63251.87,$11985.60,5048377300712614,4673
Cherice Ellesmere,89,Fisk,6407,1553867907000,$39212.61,$52760.02,5108750622185791,1750
Alissa Musker,0410,Lighthouse Bay,26009 CEDEX,-142239081000,$26684.88,$55869.09,5108751131642835,1025
Odelle Batchelor,4,Sunfield,595-0031,446541644000,$35521.09,$40182.32,5108753395348513,3692
Holly Trustie,73,Eastlawn,9209,772420329000,$68637.61,$59340.38,5108752510690072,1907
Mose Kroon,5929,Lillian,346580,977301488000,$58404.24,$69293.89,5108751492901176,3032
Emmie Gordon-Giles,1,Maryland,89060,1082254838000,$69338.83,$36677.83,5048370402127773,7346
Collie Springham,620,Tony,,765597861000,$94015.45,$91647.37,5048376584384124,6715
Loella Hanham,378,Del Mar,4505-854,83498236000,$43411.81,$10653.17,5108755053521612,6581
Beilul Tyrie,2536,Corben,,315532627000,$7288.61,$27208.93,5048374930705274,8431
Frank Garvan,28712,Sunnyside,,621662826000,$48471.45,$75712.82,5108753890656683,9162
Archambault Rizzotto,08896,Jenna,,-522399906000,$96992.89,$28083.56,5048378501108511,8446
Hubert Card,38764,Columbus,63121,974484110000,$806.31,$46714.19,5108759795617969,3517
Devinne Vatini,7530,Lake View,,-83758797000,$19026.62,$91923.62,5108756860640108,6513
Abelard Bartak,75644,Tennessee,4640-545,227334501000,$27058.04,$59079.71,5108751057107987,2986
Horten Lipsett,5240,Bonner,851 06,991743195000,$84791.23,$49622.55,5048377019403117,2464
Kev Virgoe,6383,Barnett,,-278783998000,$25260.91,$79749.16,5048373652439062,6909
Ursola Chimenti,54,Manufacturers,,474463729000,$12640.99,$70760.02,5048372740387838,4803
Aleen Cardenas,8,Nelson,62930-000,-1298051000,$67248.79,$68640.39,5048376938241905,1237
Elianore Grisenthwaite,90542,Morningstar,,897626890000,$77314.07,$35174.14,5048377657752387,8692
Margy Bastard,37551,Ohio,,508248362000,$66530.68,$8841.77,5108750875421372,9299
Tove Dymocke,6217,Marquette,,485488022000,$48400.39,$92573.13,5048376811884359,5738
Margarethe Derwin,699,Hazelcrest,4023,58626253000,$29712.26,$12533.42,5108751800811778,1337
Phil Backshaw,7804,Lillian,64701,324550898000,$87387.14,$86964.45,5048376310387193,6251
Jourdain Jakeman,5,Moulton,946-0054,879801057000,$39531.01,$2181.86,5048379525433331,7400
Omar Heggs,31,Dexter,,-553875461000,$39452.62,$91368.54,5048375041956607,8079
Harriette Snoden,270,Clemons,,1229068542000,$90507.91,$61902.79,5108750024650590,1316
Hamlin Braunroth,882,Kropf,91539,365065810000,$66149.81,$62471.71,5108754480503962,5563
Carline Croke,24572,Forest Run,07505,1301107519000,$13851.41,$68044.71,5108759647619817,2874
Janot Tollow,9307,Cambridge,,916140718000,$53531.79,$69503.82,5108752337955807,2731
Armand Jentet,5,Northport,38280-000,464906082000,$99055.31,$7474.74,5108750491769360,8119
Viviene Guiot,0061,Sachtjen,,254808504000,$36613.62,$58277.03,5108750650509268,7628
Verene Stubbe,319,Golf Course,,182412491000,$33931.08,$50331.68,5048378748626143,7758
Tamara Dreelan,93,Brentwood,141850,1376423222000,$71199.19,$36883.52,5048379103003076,3144
Marion Pettengell,9889,Sherman,,1309336619000,$85715.26,$99914.17,5048376180158682,5421
Launce Adair,776,Doe Crossing,SVR,334213391000,$98726.83,$20184.80,5048376310233090,9537
Smith Willcott,163,Algoma,,1075187781000,$72508.11,$52446.62,5048376960068945,8558
Tatiana Espinosa,456,Emmet,,1448547430000,$96064.11,$2252.16,5108751736062074,2310
Hashim Pick,947,Bowman,48970-000,-113317564000,$78308.08,$76202.03,5048379926546087,8501
Alejandro Held,0,Manufacturers,35000,1243341464000,$80743.21,$43656.08,5048372166415782,9943
Keene Ablitt,20643,Reindahl,507037,-323709596000,$95165.19,$91786.84,5048374841794243,1259
Edita Addey,96311,Jana,331 01,-57179824000,$38066.09,$65834.40,5048374344615945,7201
Caprice Sutcliff,689,Ryan,,-572568725000,$31103.76,$80339.88,5048372424027395,2740
Con MacKeeg,8769,Emmet,,121237736000,$92770.75,$51979.02,5108755848940762,2456
Chrissy Bonney,184,Scott,44-373,708737908000,$61002.71,$10473.34,5048375821401378,8015
Brooke Hitschke,027,Buena Vista,563 01,651617587000,$60586.95,$18730.36,5108751793030618,5938
Cecilius Germann,7081,Hauk,,-452045725000,$63368.19,$40227.12,5108751503767657,1087
Onfre Mizzen,4284,Londonderry,11558,1000848306000,$91442.30,$81998.50,5108757261623545,2255
Jemie Attewill,24,Service,,-432653205000,$83444.86,$14585.08,5048375825726804,9157
Cristabel Eilhart,6467,Portage,4575-069,-133011643000,$91538.80,$29188.15,5048374256664915,8319
Darnall Crowcroft,9149,Stang,,-193888732000,$89758.19,$46458.63,5108759733342191,2206
Hinda Haxell,5518,Hovde,,665171163000,$18352.70,$2644.65,5048377549880198,3398
Hermina Evanson,90077,Utah,2389,876416234000,$79380.65,$28011.14,5048377414825906,8489
Godard Keggins,32100,Bonner,,-591171826000,$44057.16,$52131.41,5048378731710144,6897
Chris Spiteri,7,Twin Pines,,667639502000,$31565.51,$63937.18,5108751897113849,5251
Padriac Wagon,0,Calypso,,631302701000,$27044.24,$22338.82,5048373173699111,1386
Wells Wilkins,45549,Kedzie,93726,1493787016000,$2804.80,$21707.92,5048371694995018,1484
Susana Haynes,16,American Ash,2776,69757702000,$63230.21,$94748.37,5048373386635761,1355
Edmon Fazzioli,1,Meadow Ridge,2715-217,-573893370000,$15482.78,$5111.30,5048372637084217,4410
Ange Arnot,05,Pankratz,592 31,1059420332000,$81718.83,$14591.45,5048371398029999,2840
Cecily Ruthven,20357,Eliot,,-41295631000,$17308.31,$82925.38,5048378337163979,4425
Yevette Dominichelli,90,Golden Leaf,,278337407000,$76243.53,$91721.44,5108752862580780,7757
Osbourn Bramich,816,New Castle,51250,747350830000,$29601.59,$44521.69,5048377839289480,7695
Nadeen Haggard,52492,Shelley,,1374382117000,$28645.20,$81830.28,5048377830531666,2053
Abraham Lortzing,3324,Hagan,97670,224752567000,$64197.82,$23794.04,5108757525654021,7621
Jareb Jarvie,2676,1st,3171,1376333661000,$89899.68,$97055.34,5048373956709707,5127
Lacee Ballantyne,6,Mendota,38816 CEDEX 1,346207630000,$37822.79,$11494.82,5048370155715352,8248
Yasmeen Hartles,27,Eliot,,211084012000,$87957.77,$13049.20,5108755148547598,2162
Jermaine Duddin,7,Roxbury,87030 CEDEX 1,871286242000,$37447.37,$92081.60,5048373576059798,4857
Adella Kristoffersen,32101,Jana,326-0036,313758523000,$1333.51,$43835.14,5048370108593443,3621
Colleen Harmstone,145,Manufacturers,,252827550000,$79488.68,$40797.98,5108756162406448,8245
Danyelle Reiach,12,Thierer,6217,1273429268000,$28930.80,$33039.77,5048371872995145,6960
Lucy Fewell,396,Petterle,,909903596000,$27763.80,$37444.87,5108754526047875,9948
Alix Finlaison,2,Basil,56404 CEDEX,550374750000,$86132.33,$30432.38,5048379396963176,1165
Drew Fishlee,0,Jenifer,3017,-498086415000,$44245.39,$3961.64,5048373747004400,3292
Leland Benbrick,836,Loftsgordon,,-360479727000,$6845.86,$92720.96,5048377933679701,2249
Leese Foxall,1530,Oak,,1132816313000,$55001.29,$4939.32,5048371635728924,4370
Jabez Antunes,1,3rd,,-455575380000,$46865.73,$66982.26,5048375710935890,2511
Raf Lindbergh,36,Oakridge,,1190754445000,$19190.09,$37417.86,5048370794309252,7378
Giacinta Wilshaw,150,Esch,42-454,1171684284000,$24169.15,$24616.24,5048378953813204,3920
Bar Stevani,353,Carioca,,1401605730000,$24568.60,$73995.44,5048370747447340,4138
Guillermo Drakard,003,Northridge,,178406548000,$78412.69,$55365.26,5048373946502204,9454
Sheila-kathryn Vido,8130,Comanche,2715-217,1478230261000,$78515.98,$39400.58,5048379656706570,7352
Fitzgerald Halkyard,455,Marquette,798-1354,233923166000,$77268.94,$1822.52,5108752206119238,5713
Ransom Chumley,9576,Wayridge,2436,662596234000,$31219.21,$68778.00,5048379240186438,4883
Sal Hardacre,568,Scoville,1706,1589187386000,$78669.52,$62433.63,5108756198766765,2546
Bondon Horlock,5373,Colorado,,-316298103000,$30140.99,$85601.18,5108755761342483,4059
Emylee Warsop,44,Forest,,256170289000,$24404.28,$68857.40,5048373306074489,8635
Channa Marle,632,Dahle,613310,148051289000,$15498.00,$43039.38,5108755810084391,7858
Gerhard Caddell,36,Magdeline,2240-340,-135794105000,$15704.11,$48327.54,5108750827272345,1925
Sarette Droogan,4622,Loeprich,522068,890156113000,$99297.47,$98463.88,5048370780249678,8125
Shaine Bellingham,09,Muir,,-146033373000,$48520.52,$69802.00,5108754214204887,8795
Tessy Vel,7,Fairfield,056478,1135592718000,$84849.33,$25876.49,5108759812125004,4005
Maximilien Brooksbie,3286,Hintze,,1381990026000,$90067.53,$98516.21,5108756711786332,4670
Lina Kneal,0262,Riverside,4615-178,1233237532000,$36012.61,$85946.29,5048375893771807,2124
Jorie Ellicock,259,Hanson,,377259187000,$29542.15,$10440.43,5048372218029029,4193
Laetitia Fantin,1,Ronald Regan,2560-234,-312084431000,$87451.28,$88834.56,5048378709031200,9495
Ellery Schleicher,453,Sachtjen,143 31,797561385000,$91502.31,$43980.07,5108759156135460,2687
Flem Bleesing,98,Commercial,,-406485807000,$46736.30,$47411.49,5048374418695773,8676
Paolina Crowley,52909,Toban,75509 CEDEX 15,747564753000,$21223.66,$58512.32,5048378174911993,5817
Petra Pinilla,699,Morrow,652577,1588454352000,$63655.75,$73756.79,5108754185192194,4076
Claus Vickerstaff,54,Havey,,813193029000,$80181.95,$64735.13,5048371440024717,8255
Cameron Markl,896,Kingsford,,855618989000,$14078.41,$70618.76,5108755465394764,2140
Alain Shilleto,2,Rutledge,,1508194013000,$24815.19,$85160.66,5108757045577181,6879
Nani Deehan,67617,Westport,16130,774124880000,$96856.44,$73098.11,5048373162397214,3202
Harlen Louca,1216,Norway Maple,39100-000,-230827275000,$40265.74,$56888.70,5048371583226848,2716
Kial Thacker,77,8th,3270,-292153448000,$23052.54,$29537.76,5108753683261220,6155
Ruby Downton,7344,Claremont,75500-000,10253709000,$33837.33,$27741.63,5048375553398131,6301
Odille Lindstrom,34,Nevada,,248118766000,$49205.73,$31923.29,5108759402132477,9601
Cart Kattenhorn,88844,Macpherson,,647838965000,$58040.96,$99283.71,5048370894382803,2685
Reggie Sine,3404,Cascade,31119,417997765000,$93273.74,$35527.46,5048376289398205,4822
Savina Tenniswood,289,Lunder,32-503,1081770541000,$14844.24,$64069.30,5048372653878450,8365
Fiona Triswell,406,Leroy,,512337263000,$79741.90,$58999.22,5048373172622890,5428
Randolph Pike,4,Bobwhite,257 22,925792305000,$40898.55,$2115.09,5108750853891364,6313
Pauli D'Angeli,029,Londonderry,,853100949000,$55379.66,$17468.45,5108755621027951,7743
Zabrina Peevor,4,Meadow Vale,,-343813731000,$74960.86,$60996.46,5108752962120404,6352
Berton Nazer,546,Fallview,27260,814681993000,$20175.65,$80353.61,5108756452146480,8102
Jourdan Doyle,807,Messerschmidt,,57190658000,$54200.84,$69874.15,5048370363096314,2842
Lind Witz,9242,Walton,791 26,-408067714000,$56422.33,$22872.07,5108750861079218,4911
Martie Locker,0,Ryan,60160,429022672000,$95297.51,$47764.12,5048379767634018,9163
Peggi Canas,5745,Sullivan,,1040562764000,$25943.73,$91341.06,5108755353131773,8145
Krystyna Bagenal,9049,Buell,,1464164279000,$29812.49,$56368.94,5108750992645770,9241
Adler Vamplew,8983,Buena Vista,,84414291000,$26629.90,$21402.80,5048372531893234,7943
Yardley Gronous,9867,Straubel,674250,211172349000,$46933.63,$23780.82,5048379187158044,5833
Nissa Bonhomme,942,Gerald,,1512985688000,$97851.28,$58968.22,5108751936989175,5195
Phineas MacIlriach,8499,Hansons,,80773525000,$62995.03,$17218.07,5108759110608123,6039
Tracey Bessey,72,Reindahl,,1227875211000,$45618.72,$79491.85,5048371308150976,3060
Gerrilee McCoid,38860,Granby,6714,1507634526000,$10802.68,$59196.51,5048373345283661,2889
Ebonee Rosenthal,0020,Esker,,1616036237000,$41686.50,$82452.13,5108752372397089,2082
Katine Crolla,99041,Novick,2390,510348174000,$40330.02,$94954.11,5108756872847147,2373
Rosemaria Payn,0,Dawn,11009,548010666000,$87605.60,$39957.27,5048376898662371,8393
Nolan Aindriu,2,Mitchell,,1195981651000,$49528.70,$62076.12,5048375774682297,6560
Sue Snaith,66,Sycamore,,-346463324000,$7307.81,$32781.89,5048370760671339,9207
Celestine Barock,073,3rd,,1621707428000,$82263.52,$39025.83,5108759399468256,8215
Robby Alvar,26799,Veith,34-232,-204133308000,$55327.68,$95919.32,5048379507591890,7588
Lyndel Pharrow,1795,Graceland,,35510939000,$86347.73,$39358.30,5048376143975867,3468
Hunt Stang-Gjertsen,4471,Sachtjen,141662,654684814000,$2862.21,$68209.20,5048373673113217,8848
Erminie Gonthard,88395,Red Cloud,79260-000,159970691000,$56295.01,$80293.78,5108754448229957,3756
Giorgio Creenan,65292,Sycamore,54015,-6646573000,$3533.62,$86169.57,5108754843000656,3041
Priscella Alibone,5648,Dunning,,1071421047000,$84983.15,$73044.28,5108750361992571,3864
Jemimah Weblin,5,Spenser,,-17033616000,$48791.92,$24678.96,5108758653208788,2208
Aluino Geydon,239,Saint Paul,,407332466000,$11094.41,$13879.33,5108755379458218,2562
Selig Antonat,96528,Clove,44302 CEDEX 3,786993064000,$50862.01,$80241.55,5048379977165647,2580
Imojean Ringham,0076,Shelley,241904,139918322000,$98805.44,$38632.97,5048379861060656,8339
Bret Maccraw,18,Ludington,5284,168577435000,$68993.30,$70494.97,5108759474272102,1612
Yance Elleyne,85572,Alpine,62130,109978723000,$10629.85,$25928.71,5108755077888153,4850
Corenda Morley,04,Hazelcrest,,190331447000,$221.67,$65348.82,5048379989076717,1358
Adria Ormrod,5,Vidon,,716064763000,$39752.08,$74704.40,5108759789884252,7396
Parke Seniour,1,Pine View,,-73782209000,$87831.46,$75071.48,5048379193188548,2725
Eleanore Brummitt,650,Morning,88300-000,1328053850000,$55891.33,$20801.13,5108752939381303,1773
Yankee Caldicot,73,Delaware,,-267711352000,$4435.87,$42905.01,5108752074702677,1183
Baillie Burris,88,Forest Dale,6332,295613074000,$41706.68,$75224.05,5108757244490350,6195
Christoph Rampton,299,Mayer,3260,-210219736000,$49432.93,$83781.22,5108751635455247,7906
Levi Lurriman,6360,Lerdahl,,457712098000,$55422.06,$94250.81,5048375494007619,9685
Florri Starten,9,Derek,,288024881000,$4803.69,$79411.69,5108752099616555,7992
Rayna Petroff,2,Morrow,97600,-228918545000,$66605.79,$11782.04,5108757123978368,6755
Kissie Doumic,4,Gulseth,30130,1279647938000,$55242.15,$55737.48,5108757971460360,1361
Brandon Leele,35465,Rowland,,494809544000,$55578.37,$50986.34,5108758605331852,2623
Ed Haskett,56456,Novick,392 30,1305520134000,$56399.04,$42245.96,5108756379855106,2503
Vallie Schusterl,5221,Debra,68420-000,-102934051000,$78265.15,$32300.79,5048374258207705,4518
Grace Waudby,21,Amoth,,251053106000,$27236.87,$5985.94,5108754174950420,9245
Jethro Wais,49,Hudson,,-465001637000,$92253.60,$54884.19,5048370265633982,7031
Sydelle Wynn,588,Debs,,-428209436000,$91031.59,$60499.31,5048370040182214,4561
Val Norsworthy,14571,Spohn,29100-000,900109214000,$10059.78,$17966.87,5108755289464231,3471
Hanna Kubiak,5942,Randy,,-581043943000,$78415.98,$11798.84,5108750586360158,5002
Barthel Stuck,01993,Amoth,85877-000,1028571264000,$69546.65,$2739.84,5048376849274813,9625
Haily Tidd,12,Sunnyside,,686588234000,$5516.28,$64540.69,5108751341977161,7919
Edgardo Orwin,63336,Blue Bill Park,MD-5840,1577592775000,$92184.57,$35637.23,5108751475415574,4380
Michaella Burnham,0,Holy Cross,4274,883092301000,$12317.97,$16436.51,5048374703476129,4253
Graig Stigell,260,Corben,,949209760000,$74024.56,$1527.78,5048375949592223,3919
James Ceschi,29,Miller,,-16443086000,$4484.22,$90801.11,5048379658244257,1951
Dunn Presswell,93,Anniversary,,1611748514000,$12920.63,$88857.99,5108759321768070,3597
Camile Mc Combe,4,Hanson,,1341468702000,$55808.95,$99381.80,5108754186502839,8241
Moishe Budgen,00963,Ryan,,-433448674000,$42216.85,$38361.41,5108759400960531,6347
Paolina Deave,609,Upham,,1166130027000,$13870.47,$47920.28,5108753646218697,8169
Rodolfo Nealand,1124,Village Green,,290325890000,$45260.74,$57182.41,5108758404425558,6921
Lazarus Giraudo,51,Vahlen,,737888664000,$52394.00,$22119.07,5108759520513087,2081
Chicky Dobbing,65,Calypso,,409756283000,$32427.62,$74067.06,5108758465023409,2292
Gran Elmhurst,91129,Banding,05-092,-82963685000,$36547.74,$67855.94,5048372659568089,4061
Killian Suscens,32,Trailsway,412478,824850763000,$6076.96,$72052.81,5048375918888487,4986
Arther Spavon,1,Maple,07-407,392227804000,$84503.92,$62110.76,5108752601361419,2560
Linnet Linner,94929,Summerview,,-424180161000,$35353.39,$35734.75,5108753671120800,8390
