,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CustomerName,StreetNumber,StreetName,Zip,DOB,Savings,Checkings,CreditCard,Pin
31,31,31,31,31,31,31,31,31,Bent Bromidge,3542,Hovde,9407,461607356000,49482.0,10065.42,5108759882775407,7609
32,32,32,32,32,32,32,32,32,Dita Cockarill,242,Ilene,273 43,586426300000,93511.39,37346.27,5108758583255032,6836
33,33,33,33,33,33,33,33,33,Vanna Janew,1554,Lotheville,,1597004308000,36955.3,94710.8,5108751389812007,5084
34,34,34,34,34,34,34,34,34,Daria Yanez,3,Buhler,A63,-456975903000,8201.26,36250.66,5108757569640688,8303
35,35,35,35,35,35,35,35,35,Dolph Mayoh,84,Ilene,,218112635000,5134.37,57955.18,5108757619660330,8916
36,36,36,36,36,36,36,36,36,Thatch Flewett,9171,High Crossing,4201,62351639000,48676.08,13772.08,5048376952419684,9667
37,37,37,37,37,37,37,37,37,Milton Mellings,4,Magdeline,9121,-453942393000,18999.46,20481.9,5048376573857106,2264
38,38,38,38,38,38,38,38,38,Auria Huccaby,90333,Sage,793 05,101616504000,87317.08,31714.63,5108750298983305,4084
39,39,39,39,39,39,39,39,39,Cammie Bough,15,Buhler,,1371492281000,45825.83,79976.61,5108753286152156,2509
40,40,40,40,40,40,40,40,40,Tim Whiteway,14,Mitchell,,-286805044000,75114.82,62258.41,5048371709459471,7662
41,41,41,41,41,41,41,41,41,Suellen Baudinot,72892,Bobwhite,,-562968795000,22957.85,74938.81,5048375876403477,7211
42,42,42,42,42,42,42,42,42,Maynord Vondrak,2243,Jackson,17184 CEDEX,1047607909000,88524.49,51071.01,5048379087122215,6189
43,43,43,43,43,43,43,43,43,Zolly Fryer,1302,Welch,09430,-511861569000,37296.89,32060.06,5048374283323469,2098
44,44,44,44,44,44,44,44,44,Mellicent Trail,42686,Morningstar,36150,-276684792000,43742.37,63051.29,5108758588217037,6525
45,45,45,45,45,45,45,45,45,Mabelle Cona,81630,Dapin,11809,1040567842000,13181.0,73511.97,5108751942269653,5966
46,46,46,46,46,46,46,46,46,Ev Enga,24,Bluejay,,837367935000,37293.55,67258.43,5108758115547906,8016
47,47,47,47,47,47,47,47,47,Brander Leivers,6,Mitchell,8006,1526254082000,35455.86,25964.14,5048379016590748,6483
48,48,48,48,48,48,48,48,48,Chicky Heaslip,50,Delaware,,236540386000,1212.87,24601.88,5048373116354956,6022
49,49,49,49,49,49,49,49,49,Catharine L'Episcopi,8436,Eagan,,1338406607000,1420.7,75619.66,5048374358314880,7307
50,50,50,50,50,50,50,50,50,Jesselyn Hamshere,7,Bay,62767,1619683988000,95737.63,13998.65,5048374820388645,2609
51,51,51,51,51,51,51,51,51,Dolley Tousy,7328,Drewry,,1212951332000,53237.48,88234.06,5108752030053827,9608
52,52,52,52,52,52,52,52,52,Ximenez Aldous,7,Green Ridge,,839804754000,62542.31,36731.79,5108756444703026,5462
53,53,53,53,53,53,53,53,53,Gabbi Postins,3920,Atwood,4640-301,-46736502000,1357.09,31510.05,5048370020783791,1535
54,54,54,54,54,54,54,54,54,Etienne Kelf,78,Messerschmidt,,22758510000,74009.09,81756.59,5048374724339322,8552
55,55,55,55,55,55,55,55,55,Paulita Lavrinov,2,Continental,,986176190000,60044.63,18370.02,5108753548410764,1062
56,56,56,56,56,56,56,56,56,Mandel Pyrton,81,Bunting,6527,320551039000,25198.25,34621.8,5108755315349133,8497
57,57,57,57,57,57,57,57,57,Alf Goford,7,Roth,V1A,775511132000,88065.66,46374.3,5048375988591367,7368
58,58,58,58,58,58,58,58,58,Christophorus Zincke,4,Summer Ridge,,403869467000,918.54,66173.92,5048377005961573,8875
59,59,59,59,59,59,59,59,59,Basile Burkwood,520,Jenifer,1040,10218323000,65188.34,20996.69,5108757848832387,7225
60,60,60,60,60,60,60,60,60,Sharron Houseley,1,La Follette,21-146,352452091000,70432.16,50208.88,5108751845443009,2021
61,61,61,61,61,61,61,61,61,Gale Rubica,5,2nd,658138,-59654040000,28247.99,31560.56,5108757571229678,7414
62,62,62,62,62,62,62,62,62,Hazel Szubert,94,Oneill,20404,221191005000,57196.29,81103.62,5108756299675691,5458
63,63,63,63,63,63,63,63,63,Margi Krollman,72678,Pierstorff,3107,1106199877000,20829.12,98284.98,5108750384553376,2981
64,64,64,64,64,64,64,64,64,Rabi Van der Brugge,55,Chive,73700-000,1496101473000,2672.92,64967.89,5048376082793842,1233
65,65,65,65,65,65,65,65,65,Frants Cours,4,Fair Oaks,,1488865529000,90228.52,8977.11,5048372696903141,7283
66,66,66,66,66,66,66,66,66,Johnathon Gercke,86251,Merrick,35540-000,153116919000,4036.41,84746.19,5108754550115192,5165
67,67,67,67,67,67,67,67,67,Gus Boylin,168,Buena Vista,,1101646799000,4259.4,46810.75,5048374450869922,6151
68,68,68,68,68,68,68,68,68,Morna Geach,70578,Troy,4616,-203588950000,9038.7,26164.02,5108759656999886,2604
69,69,69,69,69,69,69,69,69,Tybie Buckberry,672,Lakewood Gardens,169 05,-521796325000,86779.98,89937.48,5108759574432689,4815
70,70,70,70,70,70,70,70,70,Salvidor Secker,1929,Pankratz,4425,667594882000,25360.6,86254.01,5048371483175517,9142
71,71,71,71,71,71,71,71,71,Dasya Adamo,21212,Manitowish,,969802086000,2786.58,86401.2,5108755452699639,5424
72,72,72,72,72,72,72,72,72,Corissa Kirby,95,Kropf,,398842515000,66896.25,42990.57,5048379572176577,7578
73,73,73,73,73,73,73,73,73,Donnajean Bussy,59959,Ronald Regan,457650,1203375274000,93660.33,35680.43,5108754892359748,5715
74,74,74,74,74,74,74,74,74,Sibeal Jordi,531,Toban,,-47506040000,24858.38,95499.31,5048376044572656,6999
75,75,75,75,75,75,75,75,75,Reta Petris,528,Hayes,,1299603748000,31540.48,76785.18,5108759822703915,7533
76,76,76,76,76,76,76,76,76,Walt Johnys,727,Little Fleur,,390464881000,41607.44,55948.63,5108756963644957,4152
77,77,77,77,77,77,77,77,77,Kai Ducker,34,Vernon,,1254455444000,99693.67,567.26,5048379789831535,1315
78,78,78,78,78,78,78,78,78,Mateo Zarfat,7,Elka,39-124,871854271000,83782.87,88697.34,5048374460028022,5678
79,79,79,79,79,79,79,79,79,Aleece Frayling,4,Grayhawk,,1465621101000,94098.93,72255.64,5048370262533441,8926
80,80,80,80,80,80,80,80,80,Tiffie Isles,51967,Alpine,,1550224347000,11110.64,47349.86,5108754324564824,9660
81,81,81,81,81,81,81,81,81,Herc Daintree,4,Mallory,822 30,1276832805000,35851.84,42342.37,5048377240470596,7258
82,82,82,82,82,82,82,82,82,Codi Hillett,984,Tennessee,66-330,1047180175000,19271.95,1524.11,5108755992107002,1596
83,83,83,83,83,83,83,83,83,Quill Dukes,55098,Clemons,,1565349780000,79930.27,31713.29,5108751447146687,8183
84,84,84,84,84,84,84,84,84,Martainn Ackenhead,583,Jackson,,-23647746000,94728.3,58443.18,5048371520579713,1245
85,85,85,85,85,85,85,85,85,Herve Veasey,60,Reinke,,-136305967000,85477.47,74422.08,5108752130820695,8795
86,86,86,86,86,86,86,86,86,Rockie Sargant,33,Del Sol,,750125134000,78122.73,5956.04,5048373865199412,5576
87,87,87,87,87,87,87,87,87,Jerrine Jorczyk,49,Quincy,,513779689000,48027.65,32294.86,5048378229044691,4896
88,88,88,88,88,88,88,88,88,Giffard Forbear,5564,Anzinger,,754268672000,78696.93,4978.88,5048371300790100,3411
89,89,89,89,89,89,89,89,89,Kiley Corson,277,Warrior,747 67,484808206000,94406.02,25555.43,5048373845351737,6022
90,90,90,90,90,90,90,90,90,Brandyn Cowell,9,Morning,252257,1105668266000,91566.93,78666.42,5048376991592681,8027
91,91,91,91,91,91,91,91,91,Garrik Swetman,2,Butterfield,15990-000,195368632000,61494.31,66323.02,5108755357548667,4102
92,92,92,92,92,92,92,92,92,Renaud Colledge,5,Havey,29216,1595045466000,91682.73,24439.2,5048372699892952,3084
93,93,93,93,93,93,93,93,93,Alma Skeats,73165,Rockefeller,,1410032706000,72233.72,22290.09,5108750355790502,4578
94,94,94,94,94,94,94,94,94,Rosalinda Tumbelty,3134,Johnson,,717675396000,73202.38,91728.26,5108753791828464,2815
95,95,95,95,95,95,95,95,95,Kathy Grzegorek,938,Susan,,-413529012000,42637.39,46627.85,5048377646897590,3802
96,96,96,96,96,96,96,96,96,Brittaney Figg,4,Miller,,1542031373000,19868.66,78883.64,5048376027226932,9059
97,97,97,97,97,97,97,97,97,Bianka Shalcras,11195,Utah,174 44,-184177667000,41093.78,72778.03,5108751652061670,7542
98,98,98,98,98,98,98,98,98,Morganica Khrishtafovich,796,Westerfield,,1077745289000,47861.7,13731.19,5108753009128020,9730
99,99,99,99,99,99,99,99,99,Glyn Tyrrell,8,Independence,2302,422731625000,90740.4,81881.31,5048373770599771,2178
100,100,100,100,100,100,100,100,100,Barney Leggen,9,Eastwood,,436395946000,45330.92,30230.89,5048375095088752,2505
101,101,101,101,101,101,101,101,101,Shina Blanchflower,27683,Elgar,,723079098000,30139.81,61654.15,5108751276644695,1883
102,102,102,102,102,102,102,102,102,Clarance Slowcock,393,Clyde Gallagher,,847563525000,96062.3,89792.92,5048379418226164,8927
103,103,103,103,103,103,103,103,103,Cob Kraut,3191,Norway Maple,,1015347460000,46023.07,45439.49,5108753505350615,5258
104,104,104,104,104,104,104,104,104,Roz Raffan,1,Twin Pines,,-123241325000,81490.35,63819.31,5048373400829168,7428
105,105,105,105,105,105,105,105,105,Wayne Bruins,97632,Autumn Leaf,3120,1478656285000,96264.26,33665.11,5108757852997951,3554
106,106,106,106,106,106,106,106,106,Farrell Sach,696,Scoville,,721837608000,14542.66,68049.95,5108759168797240,6643
107,107,107,107,107,107,107,107,107,Lilas Sleite,89,Eagan,,-84764643000,40925.8,13881.97,5108752682690272,5194
108,108,108,108,108,108,108,108,108,Freddy Akers,2227,Troy,,695354975000,14250.12,8494.07,5108751808424665,8879
109,109,109,109,109,109,109,109,109,Audrey Backshell,1128,Vidon,,1487001051000,4204.12,34115.79,5108754025423510,8516
110,110,110,110,110,110,110,110,110,Cloris Hodgets,34534,Esker,,918821929000,96564.89,68885.43,5108753072360799,1360
111,111,111,111,111,111,111,111,111,Mahmoud Kinsman,732,Stuart,783 35,-500696147000,87856.77,1814.85,5108752359714306,5194
112,112,112,112,112,112,112,112,112,Arvie Klesel,87573,Arrowood,,338464856000,22543.15,54274.26,5108755043367829,6760
113,113,113,113,113,113,113,113,113,Roland Spare,12938,Badeau,,1214267823000,88072.49,43000.47,5108755571502482,9002
114,114,114,114,114,114,114,114,114,Daron Sutcliff,3398,Badeau,9760-406,24627899000,63251.87,11985.6,5048377300712614,4673
115,115,115,115,115,115,115,115,115,Cherice Ellesmere,89,Fisk,6407,1553867907000,39212.61,52760.02,5108750622185791,1750
116,116,116,116,116,116,116,116,116,Alissa Musker,410,Lighthouse Bay,26009 CEDEX,-142239081000,26684.88,55869.09,5108751131642835,1025
117,117,117,117,117,117,117,117,117,Odelle Batchelor,4,Sunfield,595-0031,446541644000,35521.09,40182.32,5108753395348513,3692
118,118,118,118,118,118,118,118,118,Holly Trustie,73,Eastlawn,9209,772420329000,68637.61,59340.38,5108752510690072,1907
119,119,119,119,119,119,119,119,119,Mose Kroon,5929,Lillian,346580,977301488000,58404.24,69293.89,5108751492901176,3032
120,120,120,120,120,120,120,120,120,Emmie Gordon-Giles,1,Maryland,89060,1082254838000,69338.83,36677.83,5048370402127773,7346
121,121,121,121,121,121,121,121,121,Collie Springham,620,Tony,,765597861000,94015.45,91647.37,5048376584384124,6715
122,122,122,122,122,122,122,122,122,Loella Hanham,378,Del Mar,4505-854,83498236000,43411.81,10653.17,5108755053521612,6581
123,123,123,123,123,123,123,123,123,Beilul Tyrie,2536,Corben,,315532627000,7288.61,27208.93,5048374930705274,8431
124,124,124,124,124,124,124,124,124,Frank Garvan,28712,Sunnyside,,621662826000,48471.45,75712.82,5108753890656683,9162
125,125,125,125,125,125,125,125,125,Archambault Rizzotto,8896,Jenna,,-522399906000,96992.89,28083.56,5048378501108511,8446
126,126,126,126,126,126,126,126,126,Hubert Card,38764,Columbus,63121,974484110000,806.31,46714.19,5108759795617969,3517
127,127,127,127,127,127,127,127,127,Devinne Vatini,7530,Lake View,,-83758797000,19026.62,91923.62,5108756860640108,6513
128,128,128,128,128,128,128,128,128,Abelard Bartak,75644,Tennessee,4640-545,227334501000,27058.04,59079.71,5108751057107987,2986
129,129,129,129,129,129,129,129,129,Horten Lipsett,5240,Bonner,851 06,991743195000,84791.23,49622.55,5048377019403117,2464
130,130,130,130,130,130,130,130,130,Kev Virgoe,6383,Barnett,,-278783998000,25260.91,79749.16,5048373652439062,6909
131,131,131,131,131,131,131,131,131,Ursola Chimenti,54,Manufacturers,,474463729000,12640.99,70760.02,5048372740387838,4803
132,132,132,132,132,132,132,132,132,Aleen Cardenas,8,Nelson,62930-000,-1298051000,67248.79,68640.39,5048376938241905,1237
133,133,133,133,133,133,133,133,133,Elianore Grisenthwaite,90542,Morningstar,,897626890000,77314.07,35174.14,5048377657752387,8692
134,134,134,134,134,134,134,134,134,Margy Bastard,37551,Ohio,,508248362000,66530.68,8841.77,5108750875421372,9299
135,135,135,135,135,135,135,135,135,Tove Dymocke,6217,Marquette,,485488022000,48400.39,92573.13,5048376811884359,5738
136,136,136,136,136,136,136,136,136,Margarethe Derwin,699,Hazelcrest,4023,58626253000,29712.26,12533.42,5108751800811778,1337
137,137,137,137,137,137,137,137,137,Phil Backshaw,7804,Lillian,64701,324550898000,87387.14,86964.45,5048376310387193,6251
138,138,138,138,138,138,138,138,138,Jourdain Jakeman,5,Moulton,946-0054,879801057000,39531.01,2181.86,5048379525433331,7400
139,139,139,139,139,139,139,139,139,Omar Heggs,31,Dexter,,-553875461000,39452.62,91368.54,5048375041956607,8079
140,140,140,140,140,140,140,140,140,Harriette Snoden,270,Clemons,,1229068542000,90507.91,61902.79,5108750024650590,1316
141,141,141,141,141,141,141,141,141,Hamlin Braunroth,882,Kropf,91539,365065810000,66149.81,62471.71,5108754480503962,5563
142,142,142,142,142,142,142,142,142,Carline Croke,24572,Forest Run,07505,1301107519000,13851.41,68044.71,5108759647619817,2874
143,143,143,143,143,143,143,143,143,Janot Tollow,9307,Cambridge,,916140718000,53531.79,69503.82,5108752337955807,2731
144,144,144,144,144,144,144,144,144,Armand Jentet,5,Northport,38280-000,464906082000,99055.31,7474.74,5108750491769360,8119
145,145,145,145,145,145,145,145,145,Viviene Guiot,61,Sachtjen,,254808504000,36613.62,58277.03,5108750650509268,7628
146,146,146,146,146,146,146,146,146,Verene Stubbe,319,Golf Course,,182412491000,33931.08,50331.68,5048378748626143,7758
147,147,147,147,147,147,147,147,147,Tamara Dreelan,93,Brentwood,141850,1376423222000,71199.19,36883.52,5048379103003076,3144
148,148,148,148,148,148,148,148,148,Marion Pettengell,9889,Sherman,,1309336619000,85715.26,99914.17,5048376180158682,5421
149,149,149,149,149,149,149,149,149,Launce Adair,776,Doe Crossing,SVR,334213391000,98726.83,20184.8,5048376310233090,9537
150,150,150,150,150,150,150,150,150,Smith Willcott,163,Algoma,,1075187781000,72508.11,52446.62,5048376960068945,8558
151,151,151,151,151,151,151,151,151,Tatiana Espinosa,456,Emmet,,1448547430000,96064.11,2252.16,5108751736062074,2310
152,152,152,152,152,152,152,152,152,Hashim Pick,947,Bowman,48970-000,-113317564000,78308.08,76202.03,5048379926546087,8501
153,153,153,153,153,153,153,153,153,Alejandro Held,0,Manufacturers,35000,1243341464000,80743.21,43656.08,5048372166415782,9943
154,154,154,154,154,154,154,154,154,Keene Ablitt,20643,Reindahl,507037,-323709596000,95165.19,91786.84,5048374841794243,1259
155,155,155,155,155,155,155,155,155,Edita Addey,96311,Jana,331 01,-57179824000,38066.09,65834.4,5048374344615945,7201
156,156,156,156,156,156,156,156,156,Caprice Sutcliff,689,Ryan,,-572568725000,31103.76,80339.88,5048372424027395,2740
157,157,157,157,157,157,157,157,157,Con MacKeeg,8769,Emmet,,121237736000,92770.75,51979.02,5108755848940762,2456
158,158,158,158,158,158,158,158,158,Chrissy Bonney,184,Scott,44-373,708737908000,61002.71,10473.34,5048375821401378,8015
159,159,159,159,159,159,159,159,159,Brooke Hitschke,27,Buena Vista,563 01,651617587000,60586.95,18730.36,5108751793030618,5938
160,160,160,160,160,160,160,160,160,Cecilius Germann,7081,Hauk,,-452045725000,63368.19,40227.12,5108751503767657,1087
161,161,161,161,161,161,161,161,161,Onfre Mizzen,4284,Londonderry,11558,1000848306000,91442.3,81998.5,5108757261623545,2255
162,162,162,162,162,162,162,162,162,Jemie Attewill,24,Service,,-432653205000,83444.86,14585.08,5048375825726804,9157
163,163,163,163,163,163,163,163,163,Cristabel Eilhart,6467,Portage,4575-069,-133011643000,91538.8,29188.15,5048374256664915,8319
164,164,164,164,164,164,164,164,164,Darnall Crowcroft,9149,Stang,,-193888732000,89758.19,46458.63,5108759733342191,2206
165,165,165,165,165,165,165,165,165,Hinda Haxell,5518,Hovde,,665171163000,18352.7,2644.65,5048377549880198,3398
166,166,166,166,166,166,166,166,166,Hermina Evanson,90077,Utah,2389,876416234000,79380.65,28011.14,5048377414825906,8489
167,167,167,167,167,167,167,167,167,Godard Keggins,32100,Bonner,,-591171826000,44057.16,52131.41,5048378731710144,6897
168,168,168,168,168,168,168,168,168,Chris Spiteri,7,Twin Pines,,667639502000,31565.51,63937.18,5108751897113849,5251
169,169,169,169,169,169,169,169,169,Padriac Wagon,0,Calypso,,631302701000,27044.24,22338.82,5048373173699111,1386
170,170,170,170,170,170,170,170,170,Wells Wilkins,45549,Kedzie,93726,1493787016000,2804.8,21707.92,5048371694995018,1484
171,171,171,171,171,171,171,171,171,Susana Haynes,16,American Ash,2776,69757702000,63230.21,94748.37,5048373386635761,1355
172,172,172,172,172,172,172,172,172,Edmon Fazzioli,1,Meadow Ridge,2715-217,-573893370000,15482.78,5111.3,5048372637084217,4410
173,173,173,173,173,173,173,173,173,Ange Arnot,5,Pankratz,592 31,1059420332000,81718.83,14591.45,5048371398029999,2840
174,174,174,174,174,174,174,174,174,Cecily Ruthven,20357,Eliot,,-41295631000,17308.31,82925.38,5048378337163979,4425
175,175,175,175,175,175,175,175,175,Yevette Dominichelli,90,Golden Leaf,,278337407000,76243.53,91721.44,5108752862580780,7757
176,176,176,176,176,176,176,176,176,Osbourn Bramich,816,New Castle,51250,747350830000,29601.59,44521.69,5048377839289480,7695
177,177,177,177,177,177,177,177,177,Nadeen Haggard,52492,Shelley,,1374382117000,28645.2,81830.28,5048377830531666,2053
178,178,178,178,178,178,178,178,178,Abraham Lortzing,3324,Hagan,97670,224752567000,64197.82,23794.04,5108757525654021,7621
179,179,179,179,179,179,179,179,179,Jareb Jarvie,2676,1st,3171,1376333661000,89899.68,97055.34,5048373956709707,5127
180,180,180,180,180,180,180,180,180,Lacee Ballantyne,6,Mendota,38816 CEDEX 1,346207630000,37822.79,11494.82,5048370155715352,8248
181,181,181,181,181,181,181,181,181,Yasmeen Hartles,27,Eliot,,211084012000,87957.77,13049.2,5108755148547598,2162
182,182,182,182,182,182,182,182,182,Jermaine Duddin,7,Roxbury,87030 CEDEX 1,871286242000,37447.37,92081.6,5048373576059798,4857
183,183,183,183,183,183,183,183,183,Adella Kristoffersen,32101,Jana,326-0036,313758523000,1333.51,43835.14,5048370108593443,3621
184,184,184,184,184,184,184,184,184,Colleen Harmstone,145,Manufacturers,,252827550000,79488.68,40797.98,5108756162406448,8245
185,185,185,185,185,185,185,185,185,Danyelle Reiach,12,Thierer,6217,1273429268000,28930.8,33039.77,5048371872995145,6960
186,186,186,186,186,186,186,186,186,Lucy Fewell,396,Petterle,,909903596000,27763.8,37444.87,5108754526047875,9948
187,187,187,187,187,187,187,187,187,Alix Finlaison,2,Basil,56404 CEDEX,550374750000,86132.33,30432.38,5048379396963176,1165
188,188,188,188,188,188,188,188,188,Drew Fishlee,0,Jenifer,3017,-498086415000,44245.39,3961.64,5048373747004400,3292
189,189,189,189,189,189,189,189,189,Leland Benbrick,836,Loftsgordon,,-360479727000,6845.86,92720.96,5048377933679701,2249
190,190,190,190,190,190,190,190,190,Leese Foxall,1530,Oak,,1132816313000,55001.29,4939.32,5048371635728924,4370
191,191,191,191,191,191,191,191,191,Jabez Antunes,1,3rd,,-455575380000,46865.73,66982.26,5048375710935890,2511
192,192,192,192,192,192,192,192,192,Raf Lindbergh,36,Oakridge,,1190754445000,19190.09,37417.86,5048370794309252,7378
193,193,193,193,193,193,193,193,193,Giacinta Wilshaw,150,Esch,42-454,1171684284000,24169.15,24616.24,5048378953813204,3920
194,194,194,194,194,194,194,194,194,Bar Stevani,353,Carioca,,1401605730000,24568.6,73995.44,5048370747447340,4138
195,195,195,195,195,195,195,195,195,Guillermo Drakard,3,Northridge,,178406548000,78412.69,55365.26,5048373946502204,9454
196,196,196,196,196,196,196,196,196,Sheila-kathryn Vido,8130,Comanche,2715-217,1478230261000,78515.98,39400.58,5048379656706570,7352
197,197,197,197,197,197,197,197,197,Fitzgerald Halkyard,455,Marquette,798-1354,233923166000,77268.94,1822.52,5108752206119238,5713
198,198,198,198,198,198,198,198,198,Ransom Chumley,9576,Wayridge,2436,662596234000,31219.21,68778.0,5048379240186438,4883
199,199,199,199,199,199,199,199,199,Sal Hardacre,568,Scoville,1706,1589187386000,78669.52,62433.63,5108756198766765,2546
200,200,200,200,200,200,200,200,200,Bondon Horlock,5373,Colorado,,-316298103000,30140.99,85601.18,5108755761342483,4059
201,201,201,201,201,201,201,201,201,Emylee Warsop,44,Forest,,256170289000,24404.28,68857.4,5048373306074489,8635
202,202,202,202,202,202,202,202,202,Channa Marle,632,Dahle,613310,148051289000,15498.0,43039.38,5108755810084391,7858
203,203,203,203,203,203,203,203,203,Gerhard Caddell,36,Magdeline,2240-340,-135794105000,15704.11,48327.54,5108750827272345,1925
204,204,204,204,204,204,204,204,204,Sarette Droogan,4622,Loeprich,522068,890156113000,99297.47,98463.88,5048370780249678,8125
205,205,205,205,205,205,205,205,205,Shaine Bellingham,9,Muir,,-146033373000,48520.52,69802.0,5108754214204887,8795
206,206,206,206,206,206,206,206,206,Tessy Vel,7,Fairfield,056478,1135592718000,84849.33,25876.49,5108759812125004,4005
207,207,207,207,207,207,207,207,207,Maximilien Brooksbie,3286,Hintze,,1381990026000,90067.53,98516.21,5108756711786332,4670
208,208,208,208,208,208,208,208,208,Lina Kneal,262,Riverside,4615-178,1233237532000,36012.61,85946.29,5048375893771807,2124
209,209,209,209,209,209,209,209,209,Jorie Ellicock,259,Hanson,,377259187000,29542.15,10440.43,5048372218029029,4193
210,210,210,210,210,210,210,210,210,Laetitia Fantin,1,Ronald Regan,2560-234,-312084431000,87451.28,88834.56,5048378709031200,9495
211,211,211,211,211,211,211,211,211,Ellery Schleicher,453,Sachtjen,143 31,797561385000,91502.31,43980.07,5108759156135460,2687
212,212,212,212,212,212,212,212,212,Flem Bleesing,98,Commercial,,-406485807000,46736.3,47411.49,5048374418695773,8676
213,213,213,213,213,213,213,213,213,Paolina Crowley,52909,Toban,75509 CEDEX 15,747564753000,21223.66,58512.32,5048378174911993,5817
214,214,214,214,214,214,214,214,214,Petra Pinilla,699,Morrow,652577,1588454352000,63655.75,73756.79,5108754185192194,4076
215,215,215,215,215,215,215,215,215,Claus Vickerstaff,54,Havey,,813193029000,80181.95,64735.13,5048371440024717,8255
216,216,216,216,216,216,216,216,216,Cameron Markl,896,Kingsford,,855618989000,14078.41,70618.76,5108755465394764,2140
